Symbol,Side,Qty,Avg Price,Last Price,Change % (%),Unrealized P/L (value),Unrealized P/L (currency),Daily P/L (value),Daily P/L (currency),Market value,Cost Basis
IBCID304827955,Long,10,96.7313,97.85129,-0.01,112,USD,-0.81,USD,9785.13,9670
IBCID531668184,Long,10,94.5035,97.089,-0.03,258.55,USD,-2.43,USD,9708.9,9450
IBCID631370192,Long,8,95.999375,99.27072,0.03,261.71,USD,2.38,USD,7941.66,7680
IBCID570595802,Long,5,97.8504,99.38582,-0.01,76.77,USD,-0.63,USD,4969.29,4890
JPM,Long,18,195.4211111,196.17,0.69,13.12,USD,23.9,USD,3530.7,3520
WM,Long,15,198.81833335,211.79,0.01,194.73,USD,0.45,USD,3177,2980
IR,Long,33,94.99060605,94.93,0.48,-1.34,USD,-1.34,USD,3133.35,3140
CNM,Long,50,47.44,57.94,1.38,524.25,USD,38.7,USD,2896.25,2370
CRH,Long,30,84.96666665,87.07,0.15,63.4,USD,4.2,USD,2612.4,2550
NRG,Long,38,51.3176316,67.03,-1.61,597.83,USD,-41,USD,2547.9,1950
WEX,Long,10,233.43,235.16,0.35,17.1,USD,7.9,USD,2351.4,2330
TRV,Long,10,219.51,226.28,0.33,67.7,USD,7.5,USD,2262.8,2200
V,Long,8,282.52,282.31,0.39,-1.04,USD,-1.04,USD,2259.12,2260
VRT,Long,25,74.93,84.22,2.77,232.25,USD,56.8,USD,2105.5,1870
ALL,Long,12,139.10166665,170.85,1.11,378.7,USD,20.3,USD,2047.92,1670
HIG,Long,20,89.98,101.19,0.52,224,USD,10.2,USD,2023.6,1800
WAB,Long,13,140.43384615,143.43,0.42,39.34,USD,8.19,USD,1864.98,1830
HLT,Long,8,213.375,212.96,1.35,-1.8,USD,-1.8,USD,1705.2,1710
FAST,Long,20,69.14,77.04,0.04,158.58,USD,1.18,USD,1541.38,1380
IBP,Long,6,256.85333335,256.33,0.14,-6.2,USD,-6.2,USD,1534.92,1540
HCA,Long,4,327.78,329.04,0.53,4.96,USD,6.8,USD,1316.08,1310
ENR,Long,80,15.965,16.36,-1.21,31.6,EUR,-16,EUR,1308.8,1280
AAPL   APR2024 177.50 C [AAPL  240405C00177500 100],Short,1,1.285,0.4,-23.08,87.5,USD,11.5,USD,-41,-129